Name,Length,Thickness,Tension,Moment,Shear,Rebar Size,Rebar Spacing,Layers,DCR
ROOF_P-E.8-1,113,7.60,-27.7,232.3,55.5,#4,@ 24.0'',(1),0.40
3RD FLOOR_P-S1-1,577,7.60,76.4,19277.4,1439.2,#4,@ 24.0'',(1),1.76
3RD FLOOR_P-S1.1-1,223,7.60,-12.0,2509.4,661.3,#4,@ 24.0'',(1),2.09
3RD FLOOR_P-S4-1,24,5.20,7.9,51.1,21.3,#5,@ 72.0'',(2),1.44
3RD FLOOR_P-S6-1,355,5.20,-332.7,19208.5,1771.3,#5,@ 72.0'',(2),8.76
3RD FLOOR_P-S6.2-1,24,5.20,3.5,68.9,20.4,#5,@ 72.0'',(2),1.46
3RD FLOOR_P-S6.3-1,50,5.20,0.0,392.1,91.4,#5,@ 72.0'',(2),3.30
3RD FLOOR_P-S6.3-2,67,5.20,-0.7,228.9,53.0,#5,@ 72.0'',(2),1.27
3RD FLOOR_P-S6.7-1,175,5.20,-68.8,3022.8,583.1,#5,@ 72.0'',(2),2.54
3RD FLOOR_P-S7-1,355,5.20,-336.6,22657.4,1936.3,#5,@ 72.0'',(2),4.23
3RD FLOOR_P-S13-1,258,7.60,7.5,5265.9,884.2,#4,@ 24.0'',(1),2.46
3RD FLOOR_P-S13.5-1,138,7.60,23.5,949.3,111.6,#4,@ 24.0'',(1),0.70
3RD FLOOR_P-S14-1,445,7.60,78.6,15607.7,1423.6,#4,@ 24.0'',(1),2.25
3RD FLOOR_P-H.8-1,213,7.60,-186.0,1604.5,215.3,#4,@ 24.0'',(1),0.93
3RD FLOOR_P-H.3-1,30,7.60,-18.2,35.6,16.4,#4,@ 24.0'',(1),0.62
3RD FLOOR_P-H.3-2,107,7.60,-22.7,18.5,18.0,#4,@ 24.0'',(1),0.12
3RD FLOOR_P-H.2-1,253,5.20,54.2,452.8,41.4,#5,@ 72.0'',(2),0.22
3RD FLOOR_P-H.2-2,108,5.20,37.9,78.1,38.9,#5,@ 72.0'',(2),0.37
3RD FLOOR_P-H.2-3,415,5.20,146.3,734.3,72.9,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-01,62,5.20,-18.8,73.6,34.7,#5,@ 72.0'',(2),0.83
3RD FLOOR_P-H-02,116,5.20,24.1,226.7,53.0,#5,@ 72.0'',(2),0.60
3RD FLOOR_P-H-03,46,5.20,14.2,28.8,8.3,#5,@ 72.0'',(2),0.28
3RD FLOOR_P-H-04,306,5.20,84.7,758.5,70.6,#5,@ 72.0'',(2),0.30
3RD FLOOR_P-H-05,666,5.20,133.6,1521.7,108.6,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-06,20,5.20,15.6,7.5,2.2,#5,@ 72.0'',(2),0.08
3RD FLOOR_P-H-07,96,5.20,54.8,98.0,23.1,#5,@ 72.0'',(2),0.30
3RD FLOOR_P-H-08,12,5.20,10.3,1.1,0.3,#5,@ 72.0'',(2),0.01
3RD FLOOR_P-H-09,123,5.20,73.6,122.3,23.9,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-10,21,5.20,15.6,5.2,1.5,#5,@ 72.0'',(2),0.04
3RD FLOOR_P-H-11,18,5.20,14.4,3.7,1.0,#5,@ 72.0'',(2),0.04
3RD FLOOR_P-H-12,42,5.20,24.1,17.0,4.2,#5,@ 72.0'',(2),0.15
3RD FLOOR_P-H-13,180,5.20,68.6,191.8,29.4,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-14,18,5.20,2.8,8.8,2.7,#5,@ 72.0'',(2),0.12
3RD FLOOR_P-H-15,41,5.20,-20.3,90.8,27.7,#5,@ 72.0'',(2),1.44
3RD FLOOR_P-H-16,91,5.20,-83.1,328.8,133.5,#5,@ 72.0'',(2),2.50
3RD FLOOR_P-H-17,1107,5.20,303.1,13023.7,156.4,#5,@ 72.0'',(2),0.20
3RD FLOOR_P-H-18,1329,5.20,327.4,10750.6,155.3,#5,@ 72.0'',(2),0.15
3RD FLOOR_P-G.8-1,107,7.60,18.5,55.7,7.7,#4,@ 24.0'',(1),0.07
3RD FLOOR_P-G-01,77,7.60,-31.4,351.3,159.8,#4,@ 24.0'',(1),1.66
3RD FLOOR_P-G-02,12,5.20,-6.6,8.8,4.8,#5,@ 72.0'',(2),0.89
3RD FLOOR_P-G-03,79,5.20,2.6,228.0,63.7,#5,@ 72.0'',(2),1.16
3RD FLOOR_P-G-04,108,5.20,6.8,209.4,58.2,#5,@ 72.0'',(2),0.72
3RD FLOOR_P-G-05,90,5.20,0.4,74.7,19.6,#5,@ 72.0'',(2),0.31
3RD FLOOR_P-G-06,168,5.20,-14.3,171.2,65.8,#5,@ 72.0'',(2),0.50
3RD FLOOR_P-G-07,90,5.20,-63.8,322.0,113.0,#5,@ 72.0'',(2),2.06
3RD FLOOR_P-G-08,182,5.20,-265.2,462.1,154.3,#5,@ 72.0'',(2),1.63
3RD FLOOR_P-G-09,37,5.20,-95.2,36.1,20.8,#5,@ 72.0'',(2),2.87
3RD FLOOR_P-G-10,87,5.20,-188.9,424.6,206.3,#5,@ 72.0'',(2),6.53
3RD FLOOR_P-G-11,90,5.20,-66.5,291.9,107.1,#5,@ 72.0'',(2),1.96
3RD FLOOR_P-G-12,168,5.20,-26.6,213.2,68.9,#5,@ 72.0'',(2),0.54
3RD FLOOR_P-G-13,90,5.20,-1.2,144.7,36.8,#5,@ 72.0'',(2),0.59
3RD FLOOR_P-G-14,186,5.20,21.1,584.4,133.9,#5,@ 72.0'',(2),0.91
3RD FLOOR_P-G-15,90,5.20,21.2,305.5,84.7,#5,@ 72.0'',(2),1.25
3RD FLOOR_P-G-16,88,5.20,19.9,334.5,93.1,#5,@ 72.0'',(2),1.41
3RD FLOOR_P-G-17,165,5.20,8.0,563.3,176.0,#5,@ 72.0'',(2),1.34
3RD FLOOR_P-G-18,2623,5.30,-278.6,19881.8,505.2,#4,@ 24.0'',(1),0.26
3RD FLOOR_P-F-1,132,5.20,-27.2,276.2,111.1,#5,@ 72.0'',(2),1.13
3RD FLOOR_P-F-2,132,5.20,-84.8,343.7,78.2,#5,@ 72.0'',(2),0.97
3RD FLOOR_P-F-3,103,5.20,-40.5,779.5,91.4,#5,@ 72.0'',(2),1.85
3RD FLOOR_P-E.8-1,113,7.60,-94.2,179.2,64.2,#5,@ 72.0'',(2),0.49
2ND FLOOR_P-S1-1,258,7.60,-200.4,6072.6,1227.2,#4,@ 24.0'',(1),3.90
2ND FLOOR_P-S1-2,223,7.60,-156.7,3282.1,520.6,#4,@ 24.0'',(1),1.99
2ND FLOOR_P-S1-3,577,7.60,94.5,23753.5,1724.8,#4,@ 24.0'',(1),2.10
2ND FLOOR_P-S1.1-1,223,7.60,-76.4,4734.9,903.3,#4,@ 24.0'',(1),3.12
2ND FLOOR_P-S4-1,24,5.20,17.7,46.1,12.4,#5,@ 72.0'',(2),0.74
2ND FLOOR_P-S6-1,803,5.20,-264.9,16287.0,2131.5,#5,@ 72.0'',(2),1.93
2ND FLOOR_P-S6.2-1,24,5.20,10.9,67.7,30.2,#5,@ 72.0'',(2),1.97
2ND FLOOR_P-S6.3-1,50,5.20,-3.4,102.1,20.0,#5,@ 72.0'',(2),0.74
2ND FLOOR_P-S6.3-2,67,5.20,-24.6,97.1,13.0,#5,@ 72.0'',(2),0.40
2ND FLOOR_P-S6.7-1,175,5.20,-65.3,1748.0,139.5,#5,@ 72.0'',(2),1.51
2ND FLOOR_P-S7-1,903,5.20,-261.4,12406.0,2446.2,#5,@ 72.0'',(2),1.97
2ND FLOOR_P-S10.1-1,34,5.20,-2.4,101.9,27.5,#5,@ 72.0'',(2),1.50
2ND FLOOR_P-S10.1-2,212,5.20,8.6,1399.9,299.6,#5,@ 72.0'',(2),1.80
2ND FLOOR_P-S10.1-3,336,5.20,-7.5,3784.9,27.0,#5,@ 72.0'',(2),0.15
2ND FLOOR_P-S13-1,258,7.60,58.8,5237.1,246.9,#4,@ 24.0'',(1),0.93
2ND FLOOR_P-S13.5-1,138,7.60,34.6,630.9,62.7,#4,@ 24.0'',(1),0.41
2ND FLOOR_P-S13.7-1,17,5.20,2.0,7.7,1.6,#5,@ 72.0'',(2),0.16
2ND FLOOR_P-S13.7-2,26,5.20,-18.1,25.2,8.3,#5,@ 72.0'',(2),0.75
2ND FLOOR_P-S14-1,1629,5.86,205.2,42466.6,3398.3,#4,@ 24.0'',(1),2.32
2ND FLOOR_P-S14-2,96,5.20,-17.1,334.3,92.4,#5,@ 72.0'',(2),1.40
2ND FLOOR_P-S14-3,1773,5.80,-5.6,3178.3,15.4,#4,@ 24.0'',(1),0.02
2ND FLOOR_P-L-1,194,5.20,27.3,949.9,76.3,#5,@ 72.0'',(2),0.61
2ND FLOOR_P-L-2,20,5.20,2.0,6.3,1.1,#5,@ 72.0'',(2),0.10
2ND FLOOR_P-K-1,147,5.20,4.4,379.5,54.3,#5,@ 72.0'',(2),0.54
2ND FLOOR_P-K-2,489,5.20,44.5,690.9,146.4,#5,@ 72.0'',(2),0.36
2ND FLOOR_P-K-3,1069,5.20,143.8,2772.6,492.1,#5,@ 72.0'',(2),0.53
2ND FLOOR_P-K-4,228,5.20,-10.0,925.2,118.4,#5,@ 72.0'',(2),0.72
2ND FLOOR_P-K-5,2104,5.20,210.6,4761.7,689.6,#5,@ 72.0'',(2),0.38
2ND FLOOR_P-H.8-1,213,7.60,-117.8,153.0,183.5,#4,@ 24.0'',(1),0.62
2ND FLOOR_P-H.3-1,30,7.60,-20.2,46.1,22.2,#4,@ 24.0'',(1),0.83
2ND FLOOR_P-H.3-2,107,7.60,-48.4,35.7,23.6,#4,@ 24.0'',(1),0.17
2ND FLOOR_P-H.2-1,100,5.20,43.1,66.4,19.9,#5,@ 72.0'',(2),0.21
2ND FLOOR_P-H.2-2,102,5.20,64.2,19.1,10.5,#5,@ 72.0'',(2),0.10
2ND FLOOR_P-H.2-3,66,5.20,2.5,16.6,27.1,#5,@ 72.0'',(2),0.40
2ND FLOOR_P-H.2-4,415,5.20,166.0,376.9,23.9,#5,@ 72.0'',(2),0.07
2ND FLOOR_P-H-01,113,5.20,40.2,236.7,78.3,#5,@ 72.0'',(2),0.58
2ND FLOOR_P-H-02,46,5.20,60.0,23.0,7.2,#5,@ 72.0'',(2),0.06
2ND FLOOR_P-H-03,93,5.20,89.8,34.7,17.8,#5,@ 72.0'',(2),0.14
2ND FLOOR_P-H-04,12,5.20,11.3,1.2,0.4,#5,@ 72.0'',(2),0.04
2ND FLOOR_P-H-05,666,5.20,216.3,3542.3,65.5,#5,@ 72.0'',(2),0.11
2ND FLOOR_P-H-06,242,5.20,105.3,250.6,97.2,#5,@ 72.0'',(2),0.40
2ND FLOOR_P-H-07,315,5.20,192.7,464.8,50.2,#5,@ 72.0'',(2),0.17
2ND FLOOR_P-H-08,147,5.20,92.5,116.5,22.2,#5,@ 72.0'',(2),0.14
2ND FLOOR_P-H-09,324,5.20,57.1,1145.7,175.6,#5,@ 72.0'',(2),0.58
2ND FLOOR_P-H-10,19,5.20,-33.8,21.3,8.9,#5,@ 72.0'',(2),0.53
2ND FLOOR_P-H-11,1329,5.20,455.6,17712.1,117.7,#5,@ 72.0'',(2),0.12
2ND FLOOR_P-G.8-1,107,7.60,22.0,98.7,23.5,#4,@ 24.0'',(1),0.15
2ND FLOOR_P-G-01,366,5.67,-59.1,649.5,121.8,#4,@ 24.0'',(1),0.42
2ND FLOOR_P-G-02,90,5.20,1.6,59.5,18.8,#5,@ 72.0'',(2),0.24
2ND FLOOR_P-G-03,12,5.20,-1.6,1.6,0.5,#5,@ 72.0'',(2),0.03
2ND FLOOR_P-G-04,216,5.20,-159.9,241.5,225.8,#5,@ 72.0'',(2),1.28
2ND FLOOR_P-G-05,103,5.20,-211.3,126.1,22.2,#5,@ 72.0'',(2),0.80
2ND FLOOR_P-G-06,37,5.20,-83.9,9.6,5.6,#5,@ 72.0'',(2),0.59
2ND FLOOR_P-G-07,249,5.20,-301.3,264.0,270.5,#5,@ 72.0'',(2),1.63
2ND FLOOR_P-G-08,132,5.20,-17.1,94.3,22.1,#5,@ 72.0'',(2),0.21
2ND FLOOR_P-G-09,80,5.20,13.1,59.0,12.3,#5,@ 72.0'',(2),0.23
2ND FLOOR_P-G-10,89,5.20,34.9,61.5,11.6,#5,@ 72.0'',(2),0.15
2ND FLOOR_P-G-11,93,5.20,44.1,109.6,20.9,#5,@ 72.0'',(2),0.26
2ND FLOOR_P-G-12,76,5.20,21.4,76.5,20.6,#5,@ 72.0'',(2),0.37
2ND FLOOR_P-G-13,137,5.20,6.3,171.1,58.7,#4,@ 24.0'',(1),0.54
2ND FLOOR_P-G-14,2623,5.30,-519.0,25194.9,167.0,#5,@ 72.0'',(2),0.10
2ND FLOOR_P-F-1,132,5.20,-24.9,155.6,56.8,#5,@ 72.0'',(2),0.58
2ND FLOOR_P-F-2,132,5.20,-38.0,172.0,96.2,#5,@ 72.0'',(2),0.97
2ND FLOOR_P-F-3,103,5.20,-64.4,1164.1,99.0,#4,@ 24.0'',(1),2.21
2ND FLOOR_P-E.8-1,113,7.60,-222.3,182.8,70.9,#5,@ 72.0'',(2),0.70
2ND FLOOR_P-C.1-1,308,5.20,-25.8,485.8,97.7,#5,@ 72.0'',(2),0.41
2ND FLOOR_P-B.6-1,252,5.20,-24.3,640.6,117.0,#5,@ 72.0'',(2),0.61
2ND FLOOR_P-B.6-2,174,5.20,-5.4,426.5,94.6,#5,@ 72.0'',(2),0.72
2ND FLOOR_P-B.6-3,552,5.20,21.2,921.5,207.0,#5,@ 72.0'',(2),0.45
2ND FLOOR_P-A-1,799,5.20,17.0,4110.7,498.4,#5,@ 72.0'',(2),0.76
1ST FLOOR_P-S1-1,577,10.05,190.3,29301.3,827.8,#5,@ 72.0'',(2),1.22
1ST FLOOR_P-S1.1-1,117,7.60,50.4,72.9,102.7,#5,@ 72.0'',(2),0.54
1ST FLOOR_P-S1.1-2,48,7.60,-51.3,123.0,79.1,#5,@ 72.0'',(2),1.56
1ST FLOOR_P-S1.1-3,223,7.60,-41.7,2215.7,183.4,#5,@ 72.0'',(2),0.73
1ST FLOOR_P-S3.1-1,180,8.50,40.0,77.9,55.9,#5,@ 72.0'',(2),0.24
1ST FLOOR_P-S4-1,24,7.50,17.6,31.1,15.8,#5,@ 72.0'',(2),0.68
1ST FLOOR_P-S6-1,487,9.30,-159.9,19461.7,582.2,#5,@ 72.0'',(2),1.28
1ST FLOOR_P-S6-2,136,11.60,-8.7,926.9,203.7,#5,@ 72.0'',(2),0.74
